metric,mean,ci_low,ci_high,n
bertscore_f1,0.749090,0.732690,0.765490,31
citation_precision,0.219355,0.191459,0.247251,31
citation_recall,0.758065,0.657763,0.858366,31
content_f1,0.258322,0.210960,0.305683,31
factual_consistency_normalized,0.500000,0.500000,0.500000,31
factual_consistency_score,3.000000,3.000000,3.000000,31
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.572581,0.516030,0.629132,31
llm_context_relevance,0.508065,0.459948,0.556181,31
llm_faithfulness,0.580645,0.523217,0.638073,31
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.784946,0.669633,0.900260,31
mrr@3,0.768817,0.642366,0.895269,31
mrr@5,0.784946,0.669633,0.900260,31
ndcg@10,0.672662,0.589922,0.755403,31
ndcg@3,0.618778,0.515960,0.721596,31
ndcg@5,0.672662,0.589922,0.755403,31
recall@10,0.758065,0.657763,0.858366,31
recall@3,0.645161,0.532060,0.758263,31
recall@5,0.758065,0.657763,0.858366,31
rouge_l_recall,0.485564,0.398770,0.572357,31
semantic_sim,0.785101,0.758526,0.811677,31
