metric,mean,ci_low,ci_high,n
bertscore_f1,0.742850,0.723314,0.762386,31
citation_precision,0.206452,0.193806,0.219097,31
citation_recall,0.741935,0.652521,0.831350,31
content_f1,0.260136,0.210701,0.309571,31
factual_consistency_normalized,0.540323,0.500335,0.580310,31
factual_consistency_score,3.161290,3.001340,3.321240,31
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.637097,0.558912,0.715281,31
llm_context_relevance,0.508065,0.465651,0.550478,31
llm_faithfulness,0.556452,0.512686,0.600218,31
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.745699,0.635092,0.856306,31
mrr@3,0.715054,0.584569,0.845539,31
mrr@5,0.745699,0.635092,0.856306,31
ndcg@10,0.639081,0.559371,0.718791,31
ndcg@3,0.586607,0.479814,0.693400,31
ndcg@5,0.639081,0.559371,0.718791,31
recall@10,0.741935,0.652521,0.831350,31
recall@3,0.629032,0.509070,0.748995,31
recall@5,0.741935,0.652521,0.831350,31
rouge_l_recall,0.451836,0.374907,0.528765,31
semantic_sim,0.785076,0.758367,0.811785,31
