metric,mean,ci_low,ci_high,n
bertscore_f1,0.000000,0.000000,0.000000,0
citation_precision,0.600000,0.279933,0.920067,10
citation_recall,1.000000,1.000000,1.000000,10
content_f1,0.000000,0.000000,0.000000,0
factual_consistency_normalized,0.000000,0.000000,0.000000,0
factual_consistency_score,0.000000,0.000000,0.000000,0
h2_error_rate,0.375000,0.293333,0.456667,10
h2_gating_applied,1.000000,1.000000,1.000000,10
h3_appropriate_handling,0.000000,0.000000,0.000000,0
h3_score,0.000000,0.000000,0.000000,0
h3_speculation_detected,0.000000,0.000000,0.000000,0
h3_uncertainty_expressed,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.550000,0.452000,0.648000,10
llm_context_relevance,0.500000,0.500000,0.500000,4
llm_faithfulness,0.000000,0.000000,0.000000,0
mrr@10,0.000000,0.000000,0.000000,0
mrr@3,0.000000,0.000000,0.000000,0
mrr@5,0.000000,0.000000,0.000000,0
ndcg@10,0.000000,0.000000,0.000000,0
ndcg@3,0.000000,0.000000,0.000000,0
ndcg@5,0.000000,0.000000,0.000000,0
recall@10,0.000000,0.000000,0.000000,0
recall@3,0.000000,0.000000,0.000000,0
recall@5,0.000000,0.000000,0.000000,0
rouge_l_recall,0.000000,0.000000,0.000000,0
semantic_sim,0.000000,0.000000,0.000000,0
