metric,mean,ci_low,ci_high,n
bertscore_f1,0.732815,0.723409,0.742221,16
citation_precision,0.425000,0.318394,0.531606,16
citation_recall,0.803125,0.691180,0.915070,16
content_f1,0.320480,0.279506,0.361453,16
factual_consistency_normalized,0.515625,0.485000,0.546250,16
factual_consistency_score,3.062500,2.940000,3.185000,16
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.656250,0.538965,0.773535,16
llm_context_relevance,0.531250,0.470000,0.592500,16
llm_faithfulness,0.625000,0.515433,0.734567,16
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.962963,0.890370,1.035556,18
mrr@3,0.962963,0.890370,1.035556,18
mrr@5,0.962963,0.890370,1.035556,18
ndcg@10,0.770748,0.656727,0.884770,18
ndcg@3,0.762888,0.641556,0.884220,18
ndcg@5,0.782162,0.669123,0.895202,18
recall@10,0.763095,0.647572,0.878618,18
recall@3,0.664484,0.526113,0.802855,18
recall@5,0.763095,0.647572,0.878618,18
rouge_l_recall,0.292708,0.227077,0.358339,16
semantic_sim,0.824232,0.800380,0.848084,16
