metric,mean,ci_low,ci_high,n
bertscore_f1,0.733402,0.724582,0.742221,18
citation_precision,0.411111,0.324482,0.497740,18
citation_recall,0.749206,0.623755,0.874658,18
content_f1,0.321597,0.284956,0.358239,18
factual_consistency_normalized,0.541667,0.482245,0.601088,18
factual_consistency_score,3.166667,2.928982,3.404352,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.583333,0.494753,0.671913,18
llm_context_relevance,0.541667,0.482245,0.601088,18
llm_faithfulness,0.638889,0.540074,0.737704,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.972222,0.917778,1.026667,18
mrr@3,0.972222,0.917778,1.026667,18
mrr@5,0.972222,0.917778,1.026667,18
ndcg@10,0.766903,0.655563,0.878242,18
ndcg@3,0.760911,0.646830,0.874992,18
ndcg@5,0.776296,0.668911,0.883682,18
recall@10,0.749206,0.623755,0.874658,18
recall@3,0.657540,0.515271,0.799808,18
recall@5,0.749206,0.623755,0.874658,18
rouge_l_recall,0.287329,0.234275,0.340383,18
semantic_sim,0.831833,0.814014,0.849653,18
