metric,mean,ci_low,ci_high,n
bertscore_f1,0.736379,0.727814,0.744944,16
citation_precision,0.375000,0.281172,0.468828,16
citation_recall,0.671354,0.519695,0.823014,16
content_f1,0.306016,0.274334,0.337697,16
factual_consistency_normalized,0.515625,0.485000,0.546250,16
factual_consistency_score,3.062500,2.940000,3.185000,16
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.625000,0.515433,0.734567,16
llm_context_relevance,0.562500,0.507716,0.617284,16
llm_faithfulness,0.625000,0.524979,0.725021,16
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.819444,0.679543,0.959346,18
mrr@3,0.805556,0.650998,0.960113,18
mrr@5,0.819444,0.679543,0.959346,18
ndcg@10,0.662369,0.519016,0.805721,18
ndcg@3,0.612856,0.445668,0.780045,18
ndcg@5,0.666382,0.525609,0.807155,18
recall@10,0.659722,0.519539,0.799905,18
recall@3,0.542130,0.385363,0.698896,18
recall@5,0.659722,0.519539,0.799905,18
rouge_l_recall,0.265269,0.227402,0.303136,16
semantic_sim,0.830167,0.808447,0.851887,16
