metric,mean,ci_low,ci_high,n
bertscore_f1,0.752501,0.739775,0.765226,18
citation_precision,0.400000,0.294892,0.505108,18
citation_recall,0.761243,0.610804,0.911682,18
content_f1,0.307509,0.263558,0.351460,18
factual_consistency_normalized,0.541667,0.497377,0.585957,18
factual_consistency_score,3.166667,2.989507,3.343827,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.611111,0.529712,0.692510,18
llm_context_relevance,0.583333,0.527310,0.639356,18
llm_faithfulness,0.625000,0.525965,0.724035,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.907407,0.780142,1.034673,18
mrr@3,0.907407,0.780142,1.034673,18
mrr@5,0.907407,0.780142,1.034673,18
ndcg@10,0.768208,0.624856,0.911561,18
ndcg@3,0.732422,0.583792,0.881052,18
ndcg@5,0.770035,0.627988,0.912081,18
recall@10,0.761243,0.610804,0.911682,18
recall@3,0.654233,0.499791,0.808674,18
recall@5,0.761243,0.610804,0.911682,18
rouge_l_recall,0.249720,0.194125,0.305316,18
semantic_sim,0.846836,0.827743,0.865929,18
