metric,mean,ci_low,ci_high,n
bertscore_f1,0.735649,0.723492,0.747807,17
citation_precision,0.388235,0.279467,0.497004,17
citation_recall,0.770728,0.612387,0.929070,17
content_f1,0.324236,0.286000,0.362472,17
factual_consistency_normalized,0.573529,0.492004,0.655055,17
factual_consistency_score,3.294118,2.968017,3.620219,17
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.588235,0.494836,0.681634,17
llm_context_relevance,0.588235,0.529694,0.646776,17
llm_faithfulness,0.588235,0.504821,0.671649,17
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.907407,0.780142,1.034673,18
mrr@3,0.907407,0.780142,1.034673,18
mrr@5,0.907407,0.780142,1.034673,18
ndcg@10,0.768208,0.624856,0.911561,18
ndcg@3,0.732422,0.583792,0.881052,18
ndcg@5,0.770035,0.627988,0.912081,18
recall@10,0.761243,0.610804,0.911682,18
recall@3,0.654233,0.499791,0.808674,18
recall@5,0.761243,0.610804,0.911682,18
rouge_l_recall,0.269075,0.210007,0.328143,17
semantic_sim,0.838923,0.816547,0.861300,17
