metric,mean,ci_low,ci_high,n
bertscore_f1,0.745412,0.733861,0.756963,18
citation_precision,0.411111,0.313575,0.508647,18
citation_recall,0.712169,0.568629,0.855710,18
content_f1,0.322665,0.283067,0.362263,18
factual_consistency_normalized,0.500000,0.500000,0.500000,18
factual_consistency_score,3.000000,3.000000,3.000000,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_answer_relevance,0.680556,0.569880,0.791231,18
llm_context_relevance,0.555556,0.492228,0.618883,18
llm_faithfulness,0.597222,0.516630,0.677814,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.833333,0.696106,0.970561,18
mrr@3,0.833333,0.696106,0.970561,18
mrr@5,0.833333,0.696106,0.970561,18
ndcg@10,0.703777,0.560146,0.847408,18
ndcg@3,0.663582,0.508268,0.818895,18
ndcg@5,0.708337,0.567900,0.848774,18
recall@10,0.712169,0.568629,0.855710,18
recall@3,0.598677,0.444118,0.753237,18
recall@5,0.712169,0.568629,0.855710,18
rouge_l_recall,0.264998,0.211951,0.318045,18
semantic_sim,0.829312,0.803707,0.854917,18
