metric,mean,ci_low,ci_high,n
bertscore_f1,0.747668,0.740291,0.755045,15
citation_precision,0.373333,0.259421,0.487246,15
citation_recall,0.677778,0.513277,0.842279,15
content_f1,0.305338,0.272386,0.338291,15
factual_consistency_normalized,0.500000,0.500000,0.500000,15
factual_consistency_score,3.000000,3.000000,3.000000,15
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_precision,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
gating_node_ids_precision,0.000000,0.000000,0.000000,0
gating_node_ids_recall,0.000000,0.000000,0.000000,0
gating_task_names_precision,0.000000,0.000000,0.000000,0
gating_task_names_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.819444,0.679543,0.959346,18
mrr@3,0.805556,0.650998,0.960113,18
mrr@5,0.819444,0.679543,0.959346,18
ndcg@10,0.662369,0.519016,0.805721,18
ndcg@3,0.612856,0.445668,0.780045,18
ndcg@5,0.666382,0.525609,0.807155,18
recall@10,0.659722,0.519539,0.799905,18
recall@3,0.542130,0.385363,0.698896,18
recall@5,0.659722,0.519539,0.799905,18
rouge_l_recall,0.217631,0.174423,0.260838,15
semantic_sim,0.855774,0.829302,0.882246,15
