metric,mean,ci_low,ci_high,n
bertscore_f1,0.732392,0.718129,0.746655,18
citation_precision,0.433333,0.327037,0.539629,18
citation_recall,0.721759,0.584690,0.858829,18
content_f1,0.298121,0.255543,0.340699,18
factual_consistency_normalized,0.513889,0.486667,0.541111,18
factual_consistency_score,3.055556,2.946667,3.164444,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_precision,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
gating_node_ids_precision,0.000000,0.000000,0.000000,0
gating_node_ids_recall,0.000000,0.000000,0.000000,0
gating_task_names_precision,0.000000,0.000000,0.000000,0
gating_task_names_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.935185,0.847044,1.023327,18
mrr@3,0.935185,0.847044,1.023327,18
mrr@5,0.935185,0.847044,1.023327,18
ndcg@10,0.728890,0.592018,0.865762,18
ndcg@3,0.709060,0.574288,0.843832,18
ndcg@5,0.733962,0.601145,0.866778,18
recall@10,0.721759,0.584690,0.858829,18
recall@3,0.632870,0.485755,0.779986,18
recall@5,0.721759,0.584690,0.858829,18
rouge_l_recall,0.273131,0.211326,0.334936,18
semantic_sim,0.821470,0.773442,0.869498,18
