metric,mean,ci_low,ci_high,n
bertscore_f1,0.726610,0.716897,0.736324,17
citation_precision,0.258824,0.171397,0.346250,17
citation_recall,0.424837,0.233004,0.616669,17
content_f1,0.284414,0.243543,0.325284,17
factual_consistency_normalized,0.514706,0.485882,0.543529,17
factual_consistency_score,3.058824,2.943529,3.174118,17
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_precision,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
gating_node_ids_precision,0.000000,0.000000,0.000000,0
gating_node_ids_recall,0.000000,0.000000,0.000000,0
gating_task_names_precision,0.000000,0.000000,0.000000,0
gating_task_names_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.460185,0.302321,0.618050,18
mrr@3,0.435185,0.265796,0.604574,18
mrr@5,0.460185,0.302321,0.618050,18
ndcg@10,0.324359,0.217493,0.431226,18
ndcg@3,0.316750,0.193374,0.440125,18
ndcg@5,0.349571,0.239332,0.459811,18
recall@10,0.423457,0.242575,0.604339,18
recall@3,0.354938,0.160212,0.549665,18
recall@5,0.423457,0.242575,0.604339,18
rouge_l_recall,0.236113,0.195360,0.276866,17
semantic_sim,0.823593,0.796366,0.850821,17
