metric,mean,ci_low,ci_high,n
bertscore_f1,0.731555,0.722244,0.740867,18
citation_precision,0.400000,0.294892,0.505108,18
citation_recall,0.499118,0.340289,0.657947,18
content_f1,0.318352,0.274313,0.362391,18
factual_consistency_normalized,0.527778,0.473333,0.582222,18
factual_consistency_score,3.111111,2.893333,3.328889,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_precision,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
gating_node_ids_precision,0.000000,0.000000,0.000000,0
gating_node_ids_recall,0.000000,0.000000,0.000000,0
gating_task_names_precision,0.000000,0.000000,0.000000,0
gating_task_names_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.907407,0.780142,1.034673,18
mrr@3,0.907407,0.780142,1.034673,18
mrr@5,0.907407,0.780142,1.034673,18
ndcg@10,0.576532,0.431239,0.721825,18
ndcg@3,0.641513,0.496255,0.786772,18
ndcg@5,0.616961,0.477311,0.756610,18
recall@10,0.499118,0.340289,0.657947,18
recall@3,0.448589,0.279136,0.618043,18
recall@5,0.499118,0.340289,0.657947,18
rouge_l_recall,0.291401,0.224474,0.358329,18
semantic_sim,0.829091,0.809630,0.848552,18
