metric,mean,ci_low,ci_high,n
bertscore_f1,0.748156,0.741289,0.755022,18
citation_precision,0.388889,0.302260,0.475518,18
citation_recall,0.733003,0.597045,0.868961,18
content_f1,0.311325,0.273209,0.349441,18
factual_consistency_normalized,0.513889,0.486667,0.541111,18
factual_consistency_score,3.055556,2.946667,3.164444,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_faithfulness,0.652778,0.562976,0.742580,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.930556,0.835106,1.026005,18
mrr@3,0.916667,0.797824,1.035509,18
mrr@5,0.930556,0.835106,1.026005,18
ndcg@10,0.783297,0.661106,0.905489,18
ndcg@3,0.770600,0.635736,0.905465,18
ndcg@5,0.788699,0.671358,0.906040,18
recall@10,0.733003,0.597045,0.868961,18
recall@3,0.658399,0.501751,0.815047,18
recall@5,0.733003,0.597045,0.868961,18
rouge_l_recall,0.255619,0.209434,0.301803,18
semantic_sim,0.847262,0.827519,0.867006,18
