metric,mean,ci_low,ci_high,n
bertscore_f1,0.744102,0.735031,0.753173,18
citation_precision,0.422222,0.339043,0.505401,18
citation_recall,0.760780,0.646627,0.874934,18
content_f1,0.324666,0.287010,0.362321,18
factual_consistency_normalized,0.500000,0.500000,0.500000,18
factual_consistency_score,3.000000,3.000000,3.000000,18
gating_avg_gating_precision,0.000000,0.000000,0.000000,0
gating_avg_gating_recall,0.000000,0.000000,0.000000,0
gating_lane_ids_recall,0.000000,0.000000,0.000000,0
h2_context_respected,0.000000,0.000000,0.000000,0
h2_error_rate,0.000000,0.000000,0.000000,0
h2_hallucination_rate,0.000000,0.000000,0.000000,0
h2_hint_adherence,0.000000,0.000000,0.000000,0
h2_integration_score,0.000000,0.000000,0.000000,0
h2_knowledge_score,0.000000,0.000000,0.000000,0
h2_scope_violation_rate,0.000000,0.000000,0.000000,0
h2_structure_violation_rate,0.000000,0.000000,0.000000,0
llm_faithfulness,0.638889,0.540074,0.737704,18
llm_judge_used,0.000000,0.000000,0.000000,0
mrr@10,0.893519,0.778550,1.008487,18
mrr@3,0.879630,0.745472,1.013787,18
mrr@5,0.893519,0.778550,1.008487,18
ndcg@10,0.774359,0.663289,0.885430,18
ndcg@3,0.718726,0.572078,0.865375,18
ndcg@5,0.783175,0.675200,0.891149,18
recall@10,0.760780,0.646627,0.874934,18
recall@3,0.631944,0.469950,0.793939,18
recall@5,0.760780,0.646627,0.874934,18
rouge_l_recall,0.269217,0.222834,0.315600,18
semantic_sim,0.831854,0.806527,0.857181,18
